series,time,record
"series 0 run 0:","12943.2 ms","411"
"series 1 run 0:","6009.83 ms","371"
"series 2 run 0:","10124.8 ms","377"
"series 3 run 0:","11540.1 ms","394"
"series 4 run 0:","9487.78 ms","384"
"series 5 run 0:","12449.4 ms","407"
"series 6 run 0:","12950.4 ms","412"
"series 7 run 0:","5925.68 ms","400"
"series 8 run 0:","9474.17 ms","366"
"series 9 run 0:","11239.3 ms","392"
"series 0 run 1:","10942.8 ms","410"
"series 1 run 1:","11237.9 ms","377"
"series 2 run 1:","10503.7 ms","384"
"series 3 run 1:","6964.94 ms","391"
"series 4 run 1:","13898.2 ms","410"
"series 5 run 1:","8870.68 ms","382"
"series 6 run 1:","7807.51 ms","383"
"series 7 run 1:","15006.4 ms","401"
"series 8 run 1:","9305.93 ms","433"
"series 9 run 1:","11457.3 ms","398"
"series 0 run 2:","21379.4 ms","380"
"series 1 run 2:","9725.78 ms","412"
"series 2 run 2:","9173.95 ms","428"
"series 3 run 2:","7514.77 ms","398"
"series 4 run 2:","10708.6 ms","397"
"series 5 run 2:","5874.46 ms","390"
"series 6 run 2:","15281.9 ms","399"
"series 7 run 2:","10437.5 ms","412"
"series 8 run 2:","12338.7 ms","422"
"series 9 run 2:","7037.74 ms","391"
"series 0 run 3:","11474 ms","439"
"series 1 run 3:","15642.5 ms","410"
"series 2 run 3:","6804.66 ms","367"
"series 3 run 3:","7580.61 ms","386"
"series 4 run 3:","9384.31 ms","380"
"series 5 run 3:","8968.17 ms","397"
"series 6 run 3:","8335.21 ms","378"
"series 7 run 3:","7034.48 ms","393"
"series 8 run 3:","7854.35 ms","387"
"series 9 run 3:","14543.5 ms","422"
"series 0 run 4:","8850.05 ms","383"
"series 1 run 4:","11844.1 ms","378"
"series 2 run 4:","16755.5 ms","405"
"series 3 run 4:","11438.5 ms","394"
"series 4 run 4:","20718.8 ms","402"
"series 5 run 4:","10131.7 ms","422"
"series 6 run 4:","14752.8 ms","400"
"series 7 run 4:","10307.4 ms","378"
"series 8 run 4:","10209 ms","380"
"series 9 run 4:","5963.05 ms","371"
"series 0 run 5:","12734.3 ms","417"
"series 1 run 5:","11465.3 ms","384"
"series 2 run 5:","9614.01 ms","402"
"series 3 run 5:","7286.87 ms","392"
"series 4 run 5:","7987.27 ms","396"
"series 5 run 5:","7317.65 ms","415"
"series 6 run 5:","7395.92 ms","398"
"series 7 run 5:","8703.24 ms","452"
"series 8 run 5:","15158.1 ms","409"
"series 9 run 5:","5930.94 ms","394"
"series 0 run 6:","8722.05 ms","414"
"series 1 run 6:","8593.87 ms","427"
"series 2 run 6:","7842.93 ms","400"
"series 3 run 6:","11438.8 ms","409"
"series 4 run 6:","17002.2 ms","433"
"series 5 run 6:","10800.1 ms","409"
"series 6 run 6:","6973.86 ms","407"
"series 7 run 6:","14423 ms","409"
"series 8 run 6:","13907.8 ms","402"
"series 9 run 6:","6699.04 ms","382"
"series 0 run 7:","17497.9 ms","379"
"series 1 run 7:","7781.44 ms","398"
"series 2 run 7:","9627.4 ms","442"
"series 3 run 7:","15163.9 ms","429"
"series 4 run 7:","8267.44 ms","408"
"series 5 run 7:","8256.82 ms","381"
"series 6 run 7:","6276.66 ms","361"
"series 7 run 7:","5589.73 ms","399"
"series 8 run 7:","9191.81 ms","415"
"series 9 run 7:","20718.5 ms","396"
"series 0 run 8:","8638.12 ms","389"
"series 1 run 8:","6988.23 ms","379"
"series 2 run 8:","11029 ms","381"
"series 3 run 8:","8791.85 ms","395"
"series 4 run 8:","13555.4 ms","409"
"series 5 run 8:","8315.49 ms","402"
"series 6 run 8:","5913.14 ms","382"
"series 7 run 8:","5595.7 ms","389"
"series 8 run 8:","8268.76 ms","380"
"series 9 run 8:","11666.6 ms","384"
"series 0 run 9:","7553 ms","411"
"series 1 run 9:","11393.3 ms","402"
"series 2 run 9:","10312.5 ms","361"
"series 3 run 9:","8289.19 ms","377"
"series 4 run 9:","12173.3 ms","411"
"series 5 run 9:","11011.6 ms","401"
"series 6 run 9:","8662.42 ms","384"
"series 7 run 9:","5632.7 ms","402"
"series 8 run 9:","14026.2 ms","398"
"series 9 run 9:","12248.8 ms","393"


